lojista_id;nome_fantasia;segmento;porte;plano_taxa;uf;cidade;regiao;data_cadastro
49;Studio Aurora 49;Varejo;Média;Standard;SP;Campinas;Sudeste;2024-09-23
50;Ateliê Aurora 50;Serviços;Média;Standard;PR;Maringá;Sul;2022-02-26
51;Espaço Real 51;Varejo;MEI;Standard;MS;Campo Grande;Centro-Oeste;2024-03-22
52;Casa São José 52;Alimentação;Média;Standard;SP;Campinas;Sudeste;2021-05-29
53;Padaria Bella 53;Moda e Beleza;MEI;Premium;DF;Brasília;Centro-Oeste;2024-03-30
54;Clínica Vitória 54;Moda e Beleza;Pequena;Standard;SP;São Paulo;Sudeste;2021-01-25
55;Mercadinho Bella 55;Serviços;Média;Standard;PR;Londrina;Sul;2022-02-10
56;Loja Central 56;Alimentação;Pequena;Premium;MG;Belo Horizonte;Sudeste;2022-08-01
57;Loja Horizonte 57;Varejo;MEI;Premium;ES;Vila Velha;Sudeste;2024-03-22
58;Espaço Bom Preço 58;Varejo;Pequena;Standard;SP;Campinas;Sudeste;2024-02-17
59;Center Prime 59;Alimentação;MEI;Premium;MA;São Luís;Nordeste;2023-04-18
60;Restaurante Express 60;Varejo;MEI;Standard;RJ;Duque de Caxias;Sudeste;2021-08-20
61;Ateliê Nova Era 61;Varejo;MEI;Standard;SP;Campinas;Sudeste;2022-12-23
62;Clínica Familia 62;Alimentação;MEI;Premium;MG;Juiz de Fora;Sudeste;2023-08-11
63;Studio Express 63;Varejo;MEI;Standard;PB;João Pessoa;Nordeste;2021-11-16
64;Loja Real 64;Alimentação;MEI;Standard;SC;Florianópolis;Sul;2021-12-15
65;Mercadinho São José 65;Varejo;Pequena;Standard;PR;Curitiba;Sul;2022-07-20
66;Casa Central 66;Moda e Beleza;Média;Enterprise;SP;Campinas;Sudeste;2024-07-17
67;Mercadinho Central 67;Saúde;Pequena;Premium;CE;Fortaleza;Nordeste;2023-10-31
68;Oficina Central 68;Alimentação;Média;Standard;PR;Curitiba;Sul;2021-07-08
69;Mercadinho Prime 69;Serviços;MEI;Standard;MG;Juiz de Fora;Sudeste;2022-08-30
70;Padaria Express 70;Varejo;MEI;Standard;MG;Juiz de Fora;Sudeste;2022-10-31
71;Espaço Estrela 71;Alimentação;Pequena;Standard;RJ;Duque de Caxias;Sudeste;2024-01-15
72;Mercadinho Horizonte 72;Alimentação;MEI;Standard;MS;Campo Grande;Centro-Oeste;2024-08-20
73;Restaurante Express 73;Serviços;Pequena;Standard;PB;João Pessoa;Nordeste;2023-12-09
74;Studio Bom Preço 74;Saúde;MEI;Standard;RJ;Rio de Janeiro;Sudeste;2023-06-05
75;Clínica Nova Era 75;Varejo;Pequena;Standard;GO;Anápolis;Centro-Oeste;2023-05-20
76;Bar Aurora 76;Educação;MEI;Enterprise;SP;Ribeirão Preto;Sudeste;2023-10-13
77;Studio Bella 77;Serviços;Pequena;Premium;CE;Fortaleza;Nordeste;2024-07-26
78;Oficina Horizonte 78;Serviços;MEI;Standard;SP;Ribeirão Preto;Sudeste;2024-08-16
79;Mercadinho Express 79;Serviços;MEI;Standard;SP;São Paulo;Sudeste;2023-08-09
80;Bar Popular 80;Moda e Beleza;MEI;Standard;PE;Recife;Nordeste;2023-01-02
81;Center Prime 81;Varejo;MEI;Standard;DF;Brasília;Centro-Oeste;2022-11-14
82;Mercadinho Aurora 82;Saúde;Pequena;Standard;MG;Uberlândia;Sudeste;2023-07-10
83;Bar Horizonte 83;Saúde;MEI;Standard;MT;Cuiabá;Centro-Oeste;2023-01-15
84;Empório Bom Preço 84;Varejo;Média;Standard;SP;São Paulo;Sudeste;2022-03-16
85;Casa Central 85;Saúde;MEI;Premium;MG;Juiz de Fora;Sudeste;2022-05-20
86;Center Nova Era 86;Alimentação;Grande;Premium;PR;Curitiba;Sul;2023-12-28
87;Padaria Express 87;Varejo;Média;Standard;DF;Brasília;Centro-Oeste;2021-06-21
88;Empório Popular 88;Serviços;MEI;Standard;SC;Joinville;Sul;2021-06-20
89;Casa Nova Era 89;Alimentação;MEI;Standard;MA;São Luís;Nordeste;2021-01-17
90;Bar Prime 90;Moda e Beleza;MEI;Enterprise;MS;Campo Grande;Centro-Oeste;2022-02-27
91;Padaria Popular 91;Alimentação;Pequena;Standard;GO;Anápolis;Centro-Oeste;2023-07-21
92;Ateliê Express 92;Serviços;MEI;Premium;RS;Porto Alegre;Sul;2024-10-29
93;Empório Estrela 93;Varejo;MEI;Premium;SP;São Paulo;Sudeste;2024-02-05
94;Empório Bella 94;Serviços;MEI;Standard;MT;Cuiabá;Centro-Oeste;2021-10-05
95;Center Bella 95;Serviços;Pequena;Standard;SP;Ribeirão Preto;Sudeste;2022-02-07
96;Center Central 96;Moda e Beleza;Média;Premium;SP;São Paulo;Sudeste;2024-04-03
97;Mercadinho Nova Era 97;Moda e Beleza;MEI;Standard;BA;Salvador;Nordeste;2021-06-09
98;Mercadinho São José 98;Saúde;Pequena;Premium;PR;Curitiba;Sul;2021-06-24
99;Loja Nova Era 99;Saúde;MEI;Standard;SP;São Paulo;Sudeste;2021-05-20
100;Boutique Express 100;Serviços;MEI;Standard;AM;Manaus;Norte;2023-09-21
101;Mercadinho Prime 101;Moda e Beleza;Pequena;Standard;SP;Santos;Sudeste;2022-06-04
102;Espaço Bom Preço 102;Outros;MEI;Premium;SP;Ribeirão Preto;Sudeste;2021-05-09
103;Bar Real 103;Serviços;MEI;Enterprise;RS;Caxias do Sul;Sul;2023-01-28
104;Casa Familia 104;Serviços;Pequena;Enterprise;SC;Florianópolis;Sul;2022-02-26
105;Loja do Bairro 105;Alimentação;MEI;Standard;SP;São Paulo;Sudeste;2021-06-30
106;Boutique Popular 106;Varejo;MEI;Standard;SP;Campinas;Sudeste;2021-06-16
107;Loja Vitória 107;Serviços;MEI;Standard;RS;Caxias do Sul;Sul;2024-03-21
108;Clínica Prime 108;Alimentação;MEI;Standard;SC;Florianópolis;Sul;2021-11-01
109;Bar Aurora 109;Varejo;MEI;Standard;PR;Curitiba;Sul;2023-04-06
110;Casa Bom Preço 110;Serviços;MEI;Premium;RS;Caxias do Sul;Sul;2023-09-10
111;Ateliê Vitória 111;Alimentação;Pequena;Standard;SC;Blumenau;Sul;2024-09-07
112;Espaço Prime 112;Moda e Beleza;Média;Standard;PE;Recife;Nordeste;2022-12-19
113;Studio Estrela 113;Moda e Beleza;MEI;Premium;PR;Curitiba;Sul;2022-06-22
114;Boutique Prime 114;Varejo;Pequena;Standard;SP;Campinas;Sudeste;2022-11-23
115;Point Estrela 115;Alimentação;MEI;Standard;RJ;Duque de Caxias;Sudeste;2021-04-04
116;Point Bom Preço 116;Moda e Beleza;Média;Standard;SP;Santos;Sudeste;2023-11-06
117;Padaria Prime 117;Serviços;MEI;Standard;SP;Santos;Sudeste;2022-12-03
118;Loja Bom Preço 118;Saúde;MEI;Standard;RO;Porto Velho;Norte;2024-09-02
119;Boutique Bella 119;Alimentação;Pequena;Standard;BA;Feira de Santana;Nordeste;2023-08-03
120;Oficina Horizonte 120;Varejo;MEI;Premium;PR;Curitiba;Sul;2021-10-20
121;Boutique Popular 121;Serviços;Pequena;Enterprise;AM;Manaus;Norte;2023-06-30
122;Restaurante do Bairro 122;Alimentação;MEI;Premium;ES;Vila Velha;Sudeste;2021-07-18
123;Studio Central 123;Alimentação;MEI;Standard;MG;Belo Horizonte;Sudeste;2021-12-08
124;Empório Aurora 124;Varejo;MEI;Standard;SP;Campinas;Sudeste;2024-06-23
125;Espaço Nova Era 125;Alimentação;MEI;Standard;SC;Joinville;Sul;2024-03-21
126;Empório Prime 126;Serviços;Pequena;Premium;RS;Porto Alegre;Sul;2024-03-26
127;Empório Vitória 127;Alimentação;MEI;Standard;SP;Santos;Sudeste;2024-07-27
128;Point Bom Preço 128;Saúde;Média;Standard;PR;Londrina;Sul;2024-03-27
129;Studio Real 129;Serviços;Média;Standard;MT;Cuiabá;Centro-Oeste;2023-03-27
130;Restaurante São José 130;Varejo;MEI;Premium;PR;Maringá;Sul;2022-11-29
131;Mercadinho Aurora 131;Varejo;MEI;Standard;RS;Porto Alegre;Sul;2021-12-29
132;Center Vitória 132;Alimentação;MEI;Standard;MS;Campo Grande;Centro-Oeste;2021-02-04
133;Casa Popular 133;Varejo;Pequena;Standard;SP;Ribeirão Preto;Sudeste;2023-09-26
134;Restaurante Horizonte 134;Alimentação;Pequena;Premium;RS;Caxias do Sul;Sul;2024-10-05
135;Boutique Popular 135;Outros;Pequena;Premium;BA;Salvador;Nordeste;2021-04-14
136;Salão Aurora 136;Alimentação;MEI;Standard;BA;Salvador;Nordeste;2021-06-09
137;Padaria Express 137;Outros;MEI;Premium;PA;Belém;Norte;2024-09-19
138;Bar Real 138;Varejo;MEI;Premium;RJ;Rio de Janeiro;Sudeste;2023-11-16
139;Mercadinho Express 139;Outros;MEI;Enterprise;PR;Londrina;Sul;2021-12-05
140;Point Nova Era 140;Varejo;MEI;Premium;CE;Fortaleza;Nordeste;2022-07-30
141;Boutique Aurora 141;Moda e Beleza;MEI;Standard;MS;Campo Grande;Centro-Oeste;2024-08-26
142;Boutique Real 142;Serviços;Pequena;Premium;SP;São Paulo;Sudeste;2021-03-10
143;Oficina Bella 143;Saúde;Pequena;Standard;GO;Anápolis;Centro-Oeste;2024-06-24
144;Boutique Popular 144;Moda e Beleza;MEI;Standard;RS;Porto Alegre;Sul;2021-11-25
145;Empório Central 145;Varejo;MEI;Premium;BA;Feira de Santana;Nordeste;2023-05-05
146;Clínica Estrela 146;Moda e Beleza;MEI;Premium;SP;Ribeirão Preto;Sudeste;2023-07-29
147;Restaurante São José 147;Serviços;MEI;Standard;RJ;Niterói;Sudeste;2023-02-08
148;Salão Vitória 148;Varejo;MEI;Premium;SP;São Paulo;Sudeste;2024-05-25
149;Boutique Bella 149;Outros;MEI;Standard;CE;Fortaleza;Nordeste;2023-01-18
150;Restaurante Bella 150;Outros;Pequena;Standard;SC;Blumenau;Sul;2021-07-11
151;Point Real 151;Educação;MEI;Standard;MG;Juiz de Fora;Sudeste;2021-05-25
152;Loja Bom Preço 152;Varejo;MEI;Standard;SP;Ribeirão Preto;Sudeste;2022-05-27
153;Oficina Bom Preço 153;Alimentação;MEI;Enterprise;RS;Caxias do Sul;Sul;2024-09-08
154;Ateliê do Bairro 154;Alimentação;Média;Standard;PR;Curitiba;Sul;2023-11-18
155;Restaurante Real 155;Educação;MEI;Premium;RJ;Niterói;Sudeste;2021-10-29
156;Ateliê do Bairro 156;Alimentação;MEI;Standard;RS;Caxias do Sul;Sul;2023-04-07
157;Point Nova Era 157;Moda e Beleza;MEI;Standard;SP;Campinas;Sudeste;2021-12-17
158;Center São José 158;Alimentação;MEI;Enterprise;CE;Juazeiro do Norte;Nordeste;2024-01-13
159;Salão do Bairro 159;Moda e Beleza;Média;Premium;BA;Feira de Santana;Nordeste;2022-10-20
160;Ateliê Prime 160;Varejo;Pequena;Enterprise;SC;Florianópolis;Sul;2021-09-17
161;Restaurante Horizonte 161;Alimentação;MEI;Enterprise;PR;Curitiba;Sul;2023-11-01
162;Bar Familia 162;Varejo;MEI;Standard;SP;Santos;Sudeste;2021-05-25
163;Point do Bairro 163;Alimentação;MEI;Standard;PR;Londrina;Sul;2023-06-09
164;Center Bom Preço 164;Serviços;MEI;Standard;SP;Ribeirão Preto;Sudeste;2022-06-22
165;Ateliê do Bairro 165;Alimentação;MEI;Standard;MG;Belo Horizonte;Sudeste;2022-08-04
166;Loja Aurora 166;Alimentação;MEI;Standard;SP;Santos;Sudeste;2024-04-22
167;Ateliê Express 167;Moda e Beleza;Pequena;Standard;MG;Belo Horizonte;Sudeste;2021-11-17
168;Espaço Bella 168;Alimentação;Pequena;Standard;SP;Campinas;Sudeste;2022-03-28
169;Mercadinho Familia 169;Educação;MEI;Standard;RJ;Rio de Janeiro;Sudeste;2024-04-23
170;Bar Nova Era 170;Varejo;MEI;Premium;SP;São Paulo;Sudeste;2023-09-23
171;Salão Familia 171;Varejo;MEI;Standard;SP;Campinas;Sudeste;2023-09-16
172;Mercadinho Popular 172;Serviços;Pequena;Premium;SP;Ribeirão Preto;Sudeste;2023-05-18
173;Studio Horizonte 173;Moda e Beleza;Pequena;Standard;SP;São Paulo;Sudeste;2024-06-08
174;Mercadinho Popular 174;Varejo;Média;Standard;GO;Anápolis;Centro-Oeste;2023-12-18
175;Bar Bella 175;Outros;MEI;Premium;SC;Blumenau;Sul;2021-07-27
176;Studio Familia 176;Serviços;MEI;Standard;CE;Fortaleza;Nordeste;2022-03-22
177;Bar Bom Preço 177;Varejo;MEI;Standard;RJ;Rio de Janeiro;Sudeste;2022-06-21
178;Bar São José 178;Saúde;Pequena;Premium;SP;Santos;Sudeste;2021-01-27
179;Restaurante Aurora 179;Moda e Beleza;Pequena;Standard;RJ;Duque de Caxias;Sudeste;2023-12-23
180;Center Estrela 180;Varejo;MEI;Enterprise;BA;Feira de Santana;Nordeste;2021-07-21
181;Bar Prime 181;Varejo;Grande;Standard;SP;Ribeirão Preto;Sudeste;2022-06-28
182;Boutique Horizonte 182;Moda e Beleza;MEI;Standard;MT;Cuiabá;Centro-Oeste;2021-06-27
183;Padaria Bom Preço 183;Varejo;Pequena;Standard;RJ;Duque de Caxias;Sudeste;2022-04-26
184;Boutique Familia 184;Varejo;Pequena;Standard;PB;João Pessoa;Nordeste;2023-07-18
185;Ateliê Express 185;Varejo;Pequena;Standard;GO;Goiânia;Centro-Oeste;2023-01-05
186;Oficina Real 186;Saúde;MEI;Premium;BA;Feira de Santana;Nordeste;2022-07-09
187;Espaço Popular 187;Alimentação;MEI;Standard;AM;Manaus;Norte;2021-02-19
188;Salão Estrela 188;Alimentação;MEI;Premium;PR;Curitiba;Sul;2024-01-19
189;Point Central 189;Serviços;MEI;Enterprise;MG;Belo Horizonte;Sudeste;2022-01-07
190;Restaurante Real 190;Moda e Beleza;Média;Standard;SP;Ribeirão Preto;Sudeste;2021-09-07
191;Bar Nova Era 191;Saúde;Média;Standard;PR;Maringá;Sul;2022-08-01
192;Point Aurora 192;Saúde;Pequena;Standard;PE;Recife;Nordeste;2022-12-25
193;Salão Vitória 193;Educação;Média;Premium;SP;Ribeirão Preto;Sudeste;2022-12-05
194;Salão Familia 194;Saúde;MEI;Enterprise;SP;São Paulo;Sudeste;2021-05-20
195;Clínica Prime 195;Saúde;Média;Standard;MG;Belo Horizonte;Sudeste;2023-05-27
196;Restaurante do Bairro 196;Serviços;MEI;Standard;RS;Caxias do Sul;Sul;2022-03-23
197;Padaria Express 197;Alimentação;MEI;Standard;DF;Brasília;Centro-Oeste;2022-05-23
198;Restaurante Familia 198;Varejo;Pequena;Standard;SP;Santos;Sudeste;2022-07-06
199;Salão Real 199;Varejo;MEI;Premium;DF;Brasília;Centro-Oeste;2023-03-29
200;Salão Estrela 200;Varejo;MEI;Standard;RJ;Duque de Caxias;Sudeste;2024-05-17
201;Bar Vitória 201;Varejo;MEI;Standard;PR;Curitiba;Sul;2021-05-06
202;Casa Vitória 202;Alimentação;MEI;Standard;RS;Porto Alegre;Sul;2024-09-04
203;Casa Central 203;Saúde;Média;Premium;RJ;Niterói;Sudeste;2021-05-28
204;Espaço Aurora 204;Outros;MEI;Standard;AM;Manaus;Norte;2024-10-09
205;Center Bella 205;Serviços;MEI;Premium;RJ;Niterói;Sudeste;2023-11-06
206;Salão Real 206;Varejo;MEI;Standard;PR;Londrina;Sul;2023-05-13
207;Bar Real 207;Serviços;Pequena;Standard;GO;Goiânia;Centro-Oeste;2024-04-01
208;Salão Prime 208;Saúde;Pequena;Standard;MG;Uberlândia;Sudeste;2022-06-04
209;Boutique Aurora 209;Varejo;Média;Standard;DF;Brasília;Centro-Oeste;2022-06-23
210;Padaria Bella 210;Varejo;MEI;Standard;PB;João Pessoa;Nordeste;2022-01-06
211;Clínica Express 211;Saúde;Média;Premium;SP;São Paulo;Sudeste;2023-11-12
212;Loja Horizonte 212;Varejo;MEI;Standard;PR;Maringá;Sul;2022-04-20
213;Casa Express 213;Moda e Beleza;Pequena;Standard;DF;Brasília;Centro-Oeste;2022-01-30
214;Casa São José 214;Serviços;MEI;Standard;PR;Curitiba;Sul;2022-11-18
215;Mercadinho Popular 215;Outros;MEI;Enterprise;SP;Campinas;Sudeste;2021-07-25
216;Studio São José 216;Varejo;MEI;Standard;SC;Joinville;Sul;2021-08-17
217;Bar Estrela 217;Educação;MEI;Standard;SP;Campinas;Sudeste;2021-04-11
218;Clínica Popular 218;Serviços;MEI;Enterprise;MG;Uberlândia;Sudeste;2022-10-13
219;Center Prime 219;Saúde;MEI;Standard;MA;São Luís;Nordeste;2024-03-05
220;Casa Vitória 220;Varejo;MEI;Premium;RJ;Rio de Janeiro;Sudeste;2024-07-12
221;Salão Nova Era 221;Saúde;Pequena;Standard;RS;Caxias do Sul;Sul;2021-10-22
222;Point Central 222;Serviços;MEI;Enterprise;MG;Juiz de Fora;Sudeste;2024-07-16
223;Mercadinho Central 223;Varejo;MEI;Standard;RJ;Duque de Caxias;Sudeste;2022-08-31
224;Studio Horizonte 224;Alimentação;Média;Standard;RS;Caxias do Sul;Sul;2021-08-02
225;Clínica do Bairro 225;Alimentação;Pequena;Standard;BA;Salvador;Nordeste;2021-04-12
226;Clínica Central 226;Alimentação;MEI;Standard;DF;Brasília;Centro-Oeste;2022-10-24
227;Casa Aurora 227;Varejo;MEI;Premium;PB;João Pessoa;Nordeste;2023-11-11
228;Padaria Central 228;Serviços;Pequena;Standard;RO;Porto Velho;Norte;2023-11-15
229;Clínica Bom Preço 229;Alimentação;Pequena;Standard;DF;Brasília;Centro-Oeste;2024-06-05
230;Espaço Nova Era 230;Alimentação;Média;Standard;BA;Feira de Santana;Nordeste;2023-02-25
231;Boutique São José 231;Alimentação;MEI;Standard;RS;Porto Alegre;Sul;2021-12-28
232;Bar Nova Era 232;Serviços;Pequena;Standard;SP;Ribeirão Preto;Sudeste;2021-06-26
233;Oficina Aurora 233;Alimentação;MEI;Premium;SP;Santos;Sudeste;2024-08-07
234;Loja Prime 234;Serviços;MEI;Standard;SP;Campinas;Sudeste;2024-04-19
235;Mercadinho Horizonte 235;Alimentação;Pequena;Premium;SP;Ribeirão Preto;Sudeste;2023-11-04
236;Salão Real 236;Saúde;Média;Standard;PR;Londrina;Sul;2021-10-11
237;Padaria Aurora 237;Serviços;MEI;Enterprise;SP;São Paulo;Sudeste;2022-12-28
238;Center Familia 238;Varejo;MEI;Premium;BA;Feira de Santana;Nordeste;2022-07-14
239;Clínica Horizonte 239;Alimentação;Média;Premium;RS;Porto Alegre;Sul;2022-04-05
240;Oficina Prime 240;Alimentação;Pequena;Standard;PR;Londrina;Sul;2022-03-27
241;Casa do Bairro 241;Educação;Média;Premium;SP;Santos;Sudeste;2024-08-02
242;Loja Express 242;Saúde;Pequena;Standard;PE;Recife;Nordeste;2024-09-30
243;Padaria do Bairro 243;Varejo;Pequena;Standard;ES;Vila Velha;Sudeste;2022-03-04
244;Padaria Bom Preço 244;Alimentação;MEI;Premium;SC;Florianópolis;Sul;2021-12-27
245;Bar Horizonte 245;Varejo;MEI;Standard;GO;Anápolis;Centro-Oeste;2022-09-28
246;Loja Prime 246;Varejo;Pequena;Standard;PB;João Pessoa;Nordeste;2024-01-21
247;Salão Estrela 247;Outros;MEI;Standard;MG;Belo Horizonte;Sudeste;2021-02-06
248;Ateliê Bom Preço 248;Educação;Grande;Standard;RS;Porto Alegre;Sul;2022-08-15
249;Padaria do Bairro 249;Moda e Beleza;MEI;Premium;SP;Santos;Sudeste;2021-11-09
250;Restaurante Estrela 250;Moda e Beleza;MEI;Standard;SP;Santos;Sudeste;2023-07-18
251;Oficina Real 251;Alimentação;Pequena;Standard;SC;Blumenau;Sul;2021-01-02
252;Boutique Prime 252;Alimentação;MEI;Premium;RO;Porto Velho;Norte;2024-10-19
253;Mercadinho Central 253;Alimentação;MEI;Standard;PA;Belém;Norte;2021-10-21
254;Oficina Central 254;Alimentação;Pequena;Premium;RS;Porto Alegre;Sul;2021-03-13
255;Point Express 255;Alimentação;MEI;Premium;MA;São Luís;Nordeste;2023-09-27
256;Padaria Prime 256;Moda e Beleza;MEI;Premium;PR;Maringá;Sul;2024-01-27
257;Studio Aurora 257;Varejo;MEI;Standard;SP;Santos;Sudeste;2022-12-15
258;Ateliê Express 258;Alimentação;Pequena;Standard;SP;Campinas;Sudeste;2021-03-15
259;Center Prime 259;Moda e Beleza;MEI;Standard;RS;Caxias do Sul;Sul;2021-04-02
260;Espaço Prime 260;Serviços;Pequena;Standard;MA;São Luís;Nordeste;2024-04-19
261;Empório do Bairro 261;Saúde;MEI;Premium;MG;Belo Horizonte;Sudeste;2021-10-09
262;Espaço Bom Preço 262;Alimentação;MEI;Standard;PE;Olinda;Nordeste;2022-12-07
263;Studio Aurora 263;Saúde;MEI;Standard;SP;Ribeirão Preto;Sudeste;2022-04-17
264;Ateliê Familia 264;Moda e Beleza;MEI;Enterprise;SP;São Paulo;Sudeste;2021-09-04
265;Bar Real 265;Serviços;MEI;Standard;SP;Ribeirão Preto;Sudeste;2021-09-14
266;Empório Prime 266;Moda e Beleza;MEI;Standard;PA;Belém;Norte;2024-05-09
267;Studio Aurora 267;Alimentação;Pequena;Standard;RS;Caxias do Sul;Sul;2023-11-10
268;Salão Familia 268;Saúde;MEI;Standard;MA;São Luís;Nordeste;2023-02-10
269;Empório Popular 269;Alimentação;MEI;Standard;SC;Florianópolis;Sul;2021-12-28
270;Ateliê Central 270;Serviços;MEI;Standard;MA;São Luís;Nordeste;2023-11-27
271;Studio do Bairro 271;Alimentação;MEI;Standard;PR;Curitiba;Sul;2024-03-27
272;Mercadinho Horizonte 272;Varejo;Média;Standard;SP;Ribeirão Preto;Sudeste;2021-04-03
273;Bar Vitória 273;Moda e Beleza;MEI;Standard;SP;Ribeirão Preto;Sudeste;2024-03-21
274;Ateliê Aurora 274;Varejo;Pequena;Standard;SP;Ribeirão Preto;Sudeste;2024-08-01
275;Ateliê São José 275;Varejo;MEI;Standard;BA;Feira de Santana;Nordeste;2021-05-27
276;Studio Horizonte 276;Varejo;Média;Standard;SP;São Paulo;Sudeste;2022-08-15
277;Point Prime 277;Varejo;MEI;Standard;MG;Belo Horizonte;Sudeste;2024-07-24
278;Center Express 278;Moda e Beleza;Média;Standard;SP;São Paulo;Sudeste;2023-05-05
279;Loja Popular 279;Varejo;Pequena;Standard;SP;Campinas;Sudeste;2021-10-06
280;Restaurante Familia 280;Moda e Beleza;MEI;Enterprise;PE;Recife;Nordeste;2024-04-07
281;Ateliê Bella 281;Alimentação;MEI;Enterprise;SP;Ribeirão Preto;Sudeste;2021-05-01
282;Ateliê Estrela 282;Varejo;Grande;Standard;CE;Fortaleza;Nordeste;2023-03-19
283;Bar Central 283;Outros;MEI;Standard;PR;Londrina;Sul;2024-01-17
284;Boutique Horizonte 284;Alimentação;MEI;Standard;SP;Campinas;Sudeste;2023-03-30
285;Restaurante Central 285;Serviços;MEI;Standard;GO;Goiânia;Centro-Oeste;2022-09-08
