maquininha_id;lojista_id;modelo;data_ativacao;status
56;40;Modelo Chip Básico;2021-03-18;Inativa
57;41;Modelo Pro c/ Impressora;2021-02-09;Ativa
58;42;Modelo Pro c/ Impressora;2023-12-20;Bloqueada
59;43;Modelo Chip Básico;2021-04-09;Ativa
60;44;Modelo Chip Básico;2024-03-18;Ativa
61;44;Modelo Pro c/ Impressora;2024-03-21;Bloqueada
62;45;Modelo Smart Android;2022-12-04;Bloqueada
63;46;Modelo Chip Básico;2022-12-08;Inativa
64;47;Modelo Chip Básico;2023-12-08;Ativa
65;48;Modelo Smart Android;2023-03-27;Ativa
66;49;Modelo Chip Básico;2024-09-27;Inativa
67;50;Modelo Chip Básico;2022-03-04;Ativa
68;51;Modelo Pro c/ Impressora;2024-03-25;Bloqueada
69;52;Modelo Pro c/ Impressora;2021-06-11;Ativa
70;52;Modelo Pro c/ Impressora;2021-06-06;Inativa
71;53;Modelo Chip Básico;2024-03-30;Ativa
72;54;Modelo Chip Básico;2021-01-30;Ativa
73;55;Modelo Smart Android;2022-02-14;Ativa
74;56;Modelo Chip Básico;2022-08-10;Bloqueada
75;56;Modelo Pro c/ Impressora;2022-08-10;Bloqueada
76;57;Modelo Chip Básico;2024-04-04;Bloqueada
77;58;Modelo Chip Básico;2024-02-28;Ativa
78;58;Modelo Smart Android;2024-02-22;Ativa
79;59;Modelo Pro c/ Impressora;2023-04-26;Bloqueada
80;60;Modelo Smart Android;2021-08-28;Ativa
81;61;Modelo Chip Básico;2022-12-27;Ativa
82;62;Modelo Smart Android;2023-08-21;Ativa
83;63;Modelo Chip Básico;2021-11-19;Ativa
84;64;Modelo Chip Básico;2021-12-16;Ativa
85;65;Modelo Chip Básico;2022-07-22;Ativa
86;66;Modelo Chip Básico;2024-07-31;Ativa
87;66;Modelo Pro c/ Impressora;2024-07-27;Ativa
88;66;Modelo Chip Básico;2024-07-18;Ativa
89;67;Modelo Pro c/ Impressora;2023-10-31;Ativa
90;67;Modelo Chip Básico;2023-11-01;Bloqueada
91;68;Modelo Chip Básico;2021-07-12;Ativa
92;69;Modelo Chip Básico;2022-09-06;Ativa
93;70;Modelo Chip Básico;2022-10-31;Bloqueada
94;71;Modelo Chip Básico;2024-01-19;Ativa
95;72;Modelo Chip Básico;2024-08-27;Ativa
96;73;Modelo Chip Básico;2023-12-17;Ativa
97;73;Modelo Smart Android;2023-12-17;Ativa
98;74;Modelo Chip Básico;2023-06-17;Ativa
99;75;Modelo Chip Básico;2023-06-03;Ativa
100;76;Modelo Chip Básico;2023-10-22;Ativa
101;77;Modelo Chip Básico;2024-07-29;Ativa
102;77;Modelo Chip Básico;2024-08-04;Ativa
103;78;Modelo Chip Básico;2024-08-18;Inativa
104;79;Modelo Pro c/ Impressora;2023-08-10;Bloqueada
105;80;Modelo Smart Android;2023-01-15;Ativa
106;81;Modelo Pro c/ Impressora;2022-11-25;Ativa
107;82;Modelo Pro c/ Impressora;2023-07-23;Ativa
108;83;Modelo Chip Básico;2023-01-21;Ativa
109;84;Modelo Smart Android;2022-03-17;Inativa
110;84;Modelo Pro c/ Impressora;2022-03-21;Ativa
111;84;Modelo Smart Android;2022-03-16;Ativa
112;85;Modelo Pro c/ Impressora;2022-05-29;Ativa
113;86;Modelo Pro c/ Impressora;2024-01-06;Bloqueada
114;86;Modelo Smart Android;2024-01-05;Ativa
115;86;Modelo Chip Básico;2024-01-09;Inativa
116;86;Modelo Pro c/ Impressora;2023-12-30;Bloqueada
117;87;Modelo Pro c/ Impressora;2021-06-29;Bloqueada
118;87;Modelo Chip Básico;2021-06-28;Ativa
119;88;Modelo Smart Android;2021-07-02;Bloqueada
120;89;Modelo Chip Básico;2021-01-28;Ativa
121;90;Modelo Chip Básico;2022-03-08;Ativa
122;91;Modelo Chip Básico;2023-07-28;Ativa
123;92;Modelo Pro c/ Impressora;2024-11-02;Ativa
124;93;Modelo Pro c/ Impressora;2024-02-14;Ativa
125;94;Modelo Chip Básico;2021-10-10;Inativa
126;95;Modelo Smart Android;2022-02-20;Ativa
127;96;Modelo Pro c/ Impressora;2024-04-12;Inativa
128;97;Modelo Chip Básico;2021-06-22;Ativa
129;98;Modelo Smart Android;2021-06-28;Ativa
130;99;Modelo Pro c/ Impressora;2021-05-23;Ativa
131;100;Modelo Smart Android;2023-09-28;Inativa
132;101;Modelo Smart Android;2022-06-04;Ativa
133;101;Modelo Pro c/ Impressora;2022-06-14;Ativa
134;102;Modelo Chip Básico;2021-05-12;Ativa
135;103;Modelo Chip Básico;2023-02-06;Ativa
136;104;Modelo Chip Básico;2022-03-02;Ativa
137;104;Modelo Chip Básico;2022-03-06;Ativa
138;105;Modelo Chip Básico;2021-07-11;Ativa
139;106;Modelo Chip Básico;2021-06-20;Ativa
140;107;Modelo Chip Básico;2024-03-31;Inativa
141;108;Modelo Chip Básico;2021-11-01;Ativa
142;109;Modelo Pro c/ Impressora;2023-04-12;Ativa
143;110;Modelo Chip Básico;2023-09-16;Ativa
144;111;Modelo Smart Android;2024-09-16;Ativa
145;112;Modelo Pro c/ Impressora;2023-01-01;Inativa
146;113;Modelo Pro c/ Impressora;2022-07-03;Ativa
147;114;Modelo Pro c/ Impressora;2022-12-07;Ativa
148;114;Modelo Chip Básico;2022-12-05;Ativa
149;115;Modelo Smart Android;2021-04-16;Ativa
150;116;Modelo Chip Básico;2023-11-06;Bloqueada
151;116;Modelo Chip Básico;2023-11-17;Inativa
152;116;Modelo Chip Básico;2023-11-15;Ativa
153;117;Modelo Chip Básico;2022-12-04;Ativa
154;118;Modelo Chip Básico;2024-09-15;Ativa
155;119;Modelo Smart Android;2023-08-09;Ativa
156;119;Modelo Pro c/ Impressora;2023-08-14;Bloqueada
157;120;Modelo Chip Básico;2021-11-01;Ativa
158;121;Modelo Pro c/ Impressora;2023-07-13;Ativa
159;121;Modelo Pro c/ Impressora;2023-06-30;Inativa
160;122;Modelo Pro c/ Impressora;2021-07-25;Inativa
161;123;Modelo Chip Básico;2021-12-13;Inativa
162;124;Modelo Chip Básico;2024-06-28;Bloqueada
163;125;Modelo Chip Básico;2024-04-02;Ativa
164;126;Modelo Chip Básico;2024-04-02;Inativa
165;126;Modelo Chip Básico;2024-03-31;Ativa
166;127;Modelo Smart Android;2024-08-04;Bloqueada
167;128;Modelo Pro c/ Impressora;2024-03-30;Bloqueada
168;129;Modelo Smart Android;2023-04-02;Ativa
169;130;Modelo Chip Básico;2022-12-05;Ativa
170;131;Modelo Chip Básico;2021-12-31;Ativa
171;132;Modelo Smart Android;2021-02-13;Inativa
172;133;Modelo Smart Android;2023-09-29;Ativa
173;134;Modelo Smart Android;2024-10-11;Ativa
174;135;Modelo Pro c/ Impressora;2021-04-15;Ativa
175;135;Modelo Chip Básico;2021-04-28;Ativa
176;136;Modelo Pro c/ Impressora;2021-06-10;Ativa
177;137;Modelo Pro c/ Impressora;2024-10-01;Ativa
178;138;Modelo Pro c/ Impressora;2023-11-26;Ativa
179;139;Modelo Pro c/ Impressora;2021-12-05;Ativa
180;140;Modelo Smart Android;2022-08-06;Bloqueada
181;141;Modelo Pro c/ Impressora;2024-09-08;Ativa
182;142;Modelo Smart Android;2021-03-23;Ativa
183;142;Modelo Pro c/ Impressora;2021-03-23;Ativa
184;143;Modelo Pro c/ Impressora;2024-07-01;Ativa
185;144;Modelo Chip Básico;2021-12-07;Ativa
186;145;Modelo Pro c/ Impressora;2023-05-14;Ativa
187;146;Modelo Pro c/ Impressora;2023-08-06;Ativa
188;147;Modelo Pro c/ Impressora;2023-02-22;Ativa
189;148;Modelo Smart Android;2024-06-07;Ativa
190;149;Modelo Chip Básico;2023-02-01;Ativa
191;150;Modelo Pro c/ Impressora;2021-07-16;Ativa
192;150;Modelo Smart Android;2021-07-11;Ativa
193;151;Modelo Smart Android;2021-05-26;Ativa
194;152;Modelo Chip Básico;2022-06-05;Ativa
195;153;Modelo Chip Básico;2024-09-16;Ativa
196;154;Modelo Pro c/ Impressora;2023-11-24;Ativa
197;154;Modelo Chip Básico;2023-11-28;Bloqueada
198;154;Modelo Pro c/ Impressora;2023-11-18;Ativa
199;155;Modelo Chip Básico;2021-11-06;Ativa
200;156;Modelo Pro c/ Impressora;2023-04-11;Ativa
201;157;Modelo Smart Android;2021-12-31;Ativa
202;158;Modelo Pro c/ Impressora;2024-01-26;Ativa
203;159;Modelo Chip Básico;2022-10-31;Ativa
204;159;Modelo Chip Básico;2022-11-01;Ativa
205;160;Modelo Smart Android;2021-09-28;Inativa
206;160;Modelo Chip Básico;2021-09-25;Inativa
207;161;Modelo Chip Básico;2023-11-01;Ativa
208;162;Modelo Pro c/ Impressora;2021-06-05;Inativa
209;163;Modelo Chip Básico;2023-06-22;Bloqueada
210;164;Modelo Chip Básico;2022-06-25;Bloqueada
211;165;Modelo Pro c/ Impressora;2022-08-18;Bloqueada
212;166;Modelo Smart Android;2024-05-04;Bloqueada
213;167;Modelo Chip Básico;2021-11-26;Ativa
214;168;Modelo Pro c/ Impressora;2022-04-11;Ativa
215;169;Modelo Smart Android;2024-05-01;Ativa
216;170;Modelo Smart Android;2023-09-28;Ativa
217;171;Modelo Smart Android;2023-09-24;Bloqueada
218;172;Modelo Pro c/ Impressora;2023-05-24;Ativa
219;172;Modelo Smart Android;2023-05-21;Inativa
220;173;Modelo Chip Básico;2024-06-12;Ativa
221;173;Modelo Chip Básico;2024-06-21;Ativa
222;174;Modelo Chip Básico;2023-12-30;Ativa
223;174;Modelo Smart Android;2024-01-01;Ativa
224;174;Modelo Pro c/ Impressora;2023-12-31;Ativa
225;175;Modelo Smart Android;2021-07-31;Ativa
226;176;Modelo Smart Android;2022-04-01;Inativa
227;177;Modelo Chip Básico;2022-06-26;Ativa
228;178;Modelo Smart Android;2021-02-05;Ativa
229;178;Modelo Pro c/ Impressora;2021-01-31;Ativa
230;179;Modelo Chip Básico;2023-12-31;Bloqueada
231;180;Modelo Chip Básico;2021-07-26;Ativa
232;181;Modelo Pro c/ Impressora;2022-06-28;Ativa
233;181;Modelo Pro c/ Impressora;2022-07-02;Ativa
234;181;Modelo Pro c/ Impressora;2022-07-02;Inativa
235;182;Modelo Chip Básico;2021-06-30;Ativa
236;183;Modelo Smart Android;2022-05-08;Ativa
237;183;Modelo Smart Android;2022-05-10;Ativa
238;184;Modelo Smart Android;2023-07-22;Ativa
239;184;Modelo Pro c/ Impressora;2023-07-28;Bloqueada
240;185;Modelo Chip Básico;2023-01-16;Bloqueada
241;185;Modelo Chip Básico;2023-01-10;Ativa
242;186;Modelo Smart Android;2022-07-14;Inativa
243;187;Modelo Chip Básico;2021-03-01;Ativa
244;188;Modelo Chip Básico;2024-01-29;Ativa
245;189;Modelo Chip Básico;2022-01-15;Ativa
246;190;Modelo Pro c/ Impressora;2021-09-14;Inativa
247;190;Modelo Pro c/ Impressora;2021-09-08;Ativa
248;191;Modelo Chip Básico;2022-08-11;Bloqueada
249;191;Modelo Pro c/ Impressora;2022-08-08;Ativa
250;192;Modelo Smart Android;2023-01-05;Ativa
251;192;Modelo Smart Android;2022-12-30;Ativa
252;193;Modelo Smart Android;2022-12-13;Inativa
253;194;Modelo Smart Android;2021-05-30;Bloqueada
254;195;Modelo Chip Básico;2023-05-27;Bloqueada
255;195;Modelo Smart Android;2023-06-07;Ativa
256;195;Modelo Chip Básico;2023-06-07;Ativa
257;196;Modelo Smart Android;2022-03-30;Bloqueada
258;197;Modelo Smart Android;2022-05-24;Ativa
259;198;Modelo Pro c/ Impressora;2022-07-06;Ativa
260;199;Modelo Chip Básico;2023-04-03;Bloqueada
261;200;Modelo Chip Básico;2024-05-18;Bloqueada
262;201;Modelo Pro c/ Impressora;2021-05-09;Ativa
263;202;Modelo Chip Básico;2024-09-09;Ativa
264;203;Modelo Smart Android;2021-06-03;Inativa
265;203;Modelo Pro c/ Impressora;2021-06-05;Inativa
266;204;Modelo Pro c/ Impressora;2024-10-09;Inativa
267;205;Modelo Pro c/ Impressora;2023-11-06;Ativa
268;206;Modelo Pro c/ Impressora;2023-05-14;Ativa
269;207;Modelo Chip Básico;2024-04-05;Inativa
270;207;Modelo Pro c/ Impressora;2024-04-07;Ativa
271;208;Modelo Chip Básico;2022-06-14;Ativa
272;209;Modelo Pro c/ Impressora;2022-06-28;Ativa
273;209;Modelo Chip Básico;2022-06-27;Ativa
274;210;Modelo Pro c/ Impressora;2022-01-07;Ativa
275;211;Modelo Pro c/ Impressora;2023-11-16;Ativa
276;212;Modelo Smart Android;2022-05-04;Ativa
277;213;Modelo Chip Básico;2022-01-30;Ativa
278;213;Modelo Chip Básico;2022-02-10;Inativa
279;214;Modelo Pro c/ Impressora;2022-12-01;Bloqueada
280;215;Modelo Chip Básico;2021-07-26;Ativa
281;216;Modelo Smart Android;2021-08-30;Ativa
282;217;Modelo Chip Básico;2021-04-23;Ativa
283;218;Modelo Chip Básico;2022-10-24;Ativa
284;219;Modelo Pro c/ Impressora;2024-03-10;Bloqueada
285;220;Modelo Chip Básico;2024-07-26;Ativa
286;221;Modelo Chip Básico;2021-10-23;Ativa
287;222;Modelo Chip Básico;2024-07-23;Bloqueada
288;223;Modelo Chip Básico;2022-09-12;Inativa
289;224;Modelo Pro c/ Impressora;2021-08-06;Ativa
290;225;Modelo Chip Básico;2021-04-17;Ativa
291;226;Modelo Pro c/ Impressora;2022-10-31;Bloqueada
292;227;Modelo Chip Básico;2023-11-11;Ativa
293;228;Modelo Chip Básico;2023-11-28;Ativa
294;229;Modelo Smart Android;2024-06-08;Bloqueada
295;229;Modelo Pro c/ Impressora;2024-06-08;Inativa
296;230;Modelo Pro c/ Impressora;2023-03-04;Ativa
297;230;Modelo Chip Básico;2023-03-11;Bloqueada
298;231;Modelo Pro c/ Impressora;2022-01-08;Ativa
299;232;Modelo Pro c/ Impressora;2021-06-26;Inativa
300;233;Modelo Pro c/ Impressora;2024-08-19;Bloqueada
301;234;Modelo Chip Básico;2024-04-23;Bloqueada
302;235;Modelo Smart Android;2023-11-13;Ativa
303;235;Modelo Chip Básico;2023-11-08;Ativa
304;236;Modelo Chip Básico;2021-10-25;Ativa
305;236;Modelo Pro c/ Impressora;2021-10-19;Inativa
306;236;Modelo Smart Android;2021-10-17;Inativa
307;237;Modelo Smart Android;2022-12-30;Ativa
308;238;Modelo Pro c/ Impressora;2022-07-23;Bloqueada
309;239;Modelo Chip Básico;2022-04-15;Ativa
310;239;Modelo Pro c/ Impressora;2022-04-10;Ativa
311;240;Modelo Pro c/ Impressora;2022-04-07;Inativa
312;240;Modelo Smart Android;2022-03-29;Ativa
313;241;Modelo Pro c/ Impressora;2024-08-11;Bloqueada
314;241;Modelo Pro c/ Impressora;2024-08-05;Bloqueada
315;241;Modelo Smart Android;2024-08-10;Bloqueada
316;242;Modelo Chip Básico;2024-10-01;Ativa
317;243;Modelo Pro c/ Impressora;2022-03-16;Inativa
318;243;Modelo Smart Android;2022-03-08;Ativa
319;244;Modelo Chip Básico;2021-12-29;Ativa
320;245;Modelo Pro c/ Impressora;2022-10-04;Bloqueada
321;246;Modelo Chip Básico;2024-01-23;Inativa
322;246;Modelo Pro c/ Impressora;2024-01-27;Bloqueada
323;247;Modelo Smart Android;2021-02-09;Inativa
324;248;Modelo Chip Básico;2022-08-17;Ativa
325;248;Modelo Pro c/ Impressora;2022-08-29;Ativa
326;248;Modelo Smart Android;2022-08-23;Bloqueada
327;248;Modelo Pro c/ Impressora;2022-08-28;Ativa
328;249;Modelo Chip Básico;2021-11-22;Inativa
329;250;Modelo Smart Android;2023-07-29;Ativa
330;251;Modelo Chip Básico;2021-01-05;Inativa
331;252;Modelo Pro c/ Impressora;2024-11-02;Ativa
332;253;Modelo Chip Básico;2021-10-30;Ativa
333;254;Modelo Smart Android;2021-03-17;Ativa
334;255;Modelo Pro c/ Impressora;2023-10-06;Bloqueada
335;256;Modelo Chip Básico;2024-01-27;Ativa
336;257;Modelo Smart Android;2022-12-19;Ativa
337;258;Modelo Chip Básico;2021-03-24;Bloqueada
338;258;Modelo Chip Básico;2021-03-26;Ativa
339;259;Modelo Pro c/ Impressora;2021-04-04;Ativa
340;260;Modelo Chip Básico;2024-05-02;Ativa
341;260;Modelo Chip Básico;2024-04-30;Ativa
342;261;Modelo Chip Básico;2021-10-11;Ativa
343;262;Modelo Pro c/ Impressora;2022-12-21;Ativa
344;263;Modelo Chip Básico;2022-04-26;Ativa
345;264;Modelo Chip Básico;2021-09-04;Ativa
346;265;Modelo Chip Básico;2021-09-26;Inativa
347;266;Modelo Pro c/ Impressora;2024-05-13;Inativa
348;267;Modelo Chip Básico;2023-11-14;Ativa
349;267;Modelo Chip Básico;2023-11-11;Inativa
350;268;Modelo Chip Básico;2023-02-24;Inativa
351;269;Modelo Chip Básico;2021-12-28;Bloqueada
352;270;Modelo Smart Android;2023-12-09;Ativa
353;271;Modelo Pro c/ Impressora;2024-04-06;Ativa
354;272;Modelo Pro c/ Impressora;2021-04-15;Ativa
355;272;Modelo Chip Básico;2021-04-12;Inativa
356;272;Modelo Pro c/ Impressora;2021-04-04;Bloqueada
357;273;Modelo Smart Android;2024-03-30;Ativa
358;274;Modelo Pro c/ Impressora;2024-08-04;Ativa
359;274;Modelo Smart Android;2024-08-15;Inativa
360;275;Modelo Smart Android;2021-05-28;Bloqueada
361;276;Modelo Pro c/ Impressora;2022-08-21;Bloqueada
362;277;Modelo Chip Básico;2024-08-03;Bloqueada
363;278;Modelo Chip Básico;2023-05-19;Ativa
364;278;Modelo Chip Básico;2023-05-15;Inativa
365;279;Modelo Pro c/ Impressora;2021-10-16;Bloqueada
366;280;Modelo Pro c/ Impressora;2024-04-09;Ativa
367;281;Modelo Chip Básico;2021-05-02;Ativa
368;282;Modelo Smart Android;2023-03-26;Ativa
369;282;Modelo Pro c/ Impressora;2023-03-23;Bloqueada
370;282;Modelo Chip Básico;2023-03-19;Bloqueada
371;283;Modelo Chip Básico;2024-01-19;Ativa
372;284;Modelo Chip Básico;2023-03-31;Ativa
373;285;Modelo Smart Android;2022-09-19;Ativa
374;286;Modelo Chip Básico;2022-09-05;Ativa
375;286;Modelo Pro c/ Impressora;2022-09-09;Inativa
376;287;Modelo Smart Android;2022-02-16;Inativa
377;288;Modelo Chip Básico;2023-07-17;Inativa
378;289;Modelo Chip Básico;2024-04-25;Inativa
379;290;Modelo Pro c/ Impressora;2021-11-10;Bloqueada
380;291;Modelo Pro c/ Impressora;2023-07-09;Ativa
381;292;Modelo Pro c/ Impressora;2024-08-25;Ativa
382;293;Modelo Pro c/ Impressora;2022-04-22;Bloqueada
383;294;Modelo Smart Android;2023-11-17;Ativa
384;295;Modelo Pro c/ Impressora;2024-04-16;Ativa
385;295;Modelo Chip Básico;2024-04-09;Ativa
386;296;Modelo Chip Básico;2023-03-16;Ativa
387;296;Modelo Pro c/ Impressora;2023-03-05;Bloqueada
388;297;Modelo Chip Básico;2024-04-18;Ativa
389;298;Modelo Chip Básico;2021-09-26;Ativa
390;299;Modelo Smart Android;2023-11-01;Ativa
391;300;Modelo Chip Básico;2023-05-01;Ativa
392;301;Modelo Chip Básico;2023-10-27;Ativa
393;302;Modelo Chip Básico;2024-05-14;Ativa
394;303;Modelo Chip Básico;2021-07-19;Ativa
395;304;Modelo Smart Android;2021-03-11;Bloqueada
396;305;Modelo Smart Android;2021-10-10;Ativa
397;306;Modelo Pro c/ Impressora;2022-07-29;Ativa
398;307;Modelo Chip Básico;2022-05-26;Bloqueada
399;308;Modelo Chip Básico;2021-03-03;Ativa
400;308;Modelo Chip Básico;2021-03-06;Ativa
401;309;Modelo Chip Básico;2022-03-26;Ativa
402;309;Modelo Smart Android;2022-03-17;Ativa
403;310;Modelo Chip Básico;2024-08-09;Inativa
404;311;Modelo Smart Android;2023-10-01;Bloqueada
405;312;Modelo Smart Android;2022-07-22;Ativa
406;312;Modelo Chip Básico;2022-07-22;Bloqueada
407;312;Modelo Chip Básico;2022-07-13;Ativa
408;313;Modelo Chip Básico;2023-08-07;Ativa
409;313;Modelo Smart Android;2023-08-10;Ativa
410;314;Modelo Pro c/ Impressora;2024-05-10;Ativa
411;314;Modelo Pro c/ Impressora;2024-05-05;Ativa
412;314;Modelo Chip Básico;2024-05-03;Ativa
413;315;Modelo Chip Básico;2022-07-05;Bloqueada
414;315;Modelo Chip Básico;2022-07-02;Ativa
415;316;Modelo Chip Básico;2023-02-10;Ativa
416;316;Modelo Smart Android;2023-02-10;Inativa
417;317;Modelo Chip Básico;2021-06-17;Ativa
418;318;Modelo Chip Básico;2021-05-17;Ativa
419;319;Modelo Pro c/ Impressora;2022-02-03;Ativa
420;320;Modelo Smart Android;2024-10-01;Ativa
421;320;Modelo Smart Android;2024-10-08;Ativa
422;320;Modelo Chip Básico;2024-10-10;Inativa
423;321;Modelo Chip Básico;2021-08-05;Ativa
424;322;Modelo Chip Básico;2021-10-10;Ativa
425;323;Modelo Chip Básico;2023-06-08;Inativa
426;324;Modelo Chip Básico;2024-09-03;Ativa
427;325;Modelo Pro c/ Impressora;2022-08-27;Ativa
428;325;Modelo Chip Básico;2022-08-21;Ativa
429;326;Modelo Pro c/ Impressora;2021-09-23;Ativa
430;326;Modelo Smart Android;2021-09-27;Ativa
431;327;Modelo Chip Básico;2023-12-14;Ativa
432;328;Modelo Chip Básico;2021-10-02;Ativa
433;329;Modelo Pro c/ Impressora;2024-07-27;Ativa
434;330;Modelo Pro c/ Impressora;2022-08-21;Inativa
435;331;Modelo Smart Android;2022-02-06;Ativa
436;332;Modelo Chip Básico;2022-11-08;Inativa
437;332;Modelo Chip Básico;2022-11-07;Bloqueada
438;333;Modelo Chip Básico;2022-03-12;Ativa
439;333;Modelo Chip Básico;2022-03-11;Ativa
440;333;Modelo Pro c/ Impressora;2022-03-11;Ativa
441;334;Modelo Pro c/ Impressora;2022-05-12;Ativa
442;334;Modelo Pro c/ Impressora;2022-05-11;Inativa
443;335;Modelo Smart Android;2022-11-28;Ativa
444;336;Modelo Pro c/ Impressora;2022-10-07;Ativa
445;337;Modelo Chip Básico;2023-03-08;Ativa
446;337;Modelo Chip Básico;2023-03-12;Ativa
447;337;Modelo Chip Básico;2023-03-11;Ativa
448;338;Modelo Pro c/ Impressora;2021-06-18;Ativa
449;339;Modelo Pro c/ Impressora;2024-03-18;Bloqueada
450;340;Modelo Chip Básico;2021-09-12;Ativa
451;341;Modelo Chip Básico;2021-07-31;Bloqueada
452;342;Modelo Chip Básico;2021-04-21;Ativa
453;342;Modelo Chip Básico;2021-04-14;Ativa
454;343;Modelo Chip Básico;2021-09-12;Inativa
455;344;Modelo Pro c/ Impressora;2021-09-11;Bloqueada
456;345;Modelo Chip Básico;2023-09-18;Ativa
457;346;Modelo Pro c/ Impressora;2022-03-11;Ativa
458;346;Modelo Chip Básico;2022-03-12;Ativa
459;347;Modelo Pro c/ Impressora;2022-10-28;Ativa
460;347;Modelo Smart Android;2022-11-03;Ativa
461;348;Modelo Pro c/ Impressora;2023-05-10;Ativa
462;348;Modelo Smart Android;2023-05-19;Ativa
463;349;Modelo Chip Básico;2022-12-03;Ativa
464;350;Modelo Smart Android;2022-07-26;Ativa
465;350;Modelo Pro c/ Impressora;2022-07-24;Bloqueada
466;351;Modelo Smart Android;2023-07-25;Ativa
467;352;Modelo Smart Android;2024-05-13;Ativa
468;353;Modelo Pro c/ Impressora;2023-05-19;Ativa
469;354;Modelo Chip Básico;2022-03-02;Ativa
470;355;Modelo Smart Android;2023-11-07;Bloqueada
471;355;Modelo Smart Android;2023-11-04;Ativa
472;356;Modelo Pro c/ Impressora;2021-09-12;Ativa
473;356;Modelo Pro c/ Impressora;2021-09-12;Ativa
474;356;Modelo Chip Básico;2021-09-03;Ativa
475;357;Modelo Chip Básico;2022-05-03;Ativa
476;358;Modelo Chip Básico;2024-09-15;Ativa
477;359;Modelo Smart Android;2024-04-03;Ativa
478;360;Modelo Smart Android;2021-11-04;Bloqueada
479;360;Modelo Chip Básico;2021-11-04;Ativa
480;360;Modelo Chip Básico;2021-10-30;Ativa
481;360;Modelo Pro c/ Impressora;2021-10-29;Ativa
482;361;Modelo Pro c/ Impressora;2021-07-29;Ativa
483;361;Modelo Smart Android;2021-07-21;Ativa
484;362;Modelo Pro c/ Impressora;2022-07-21;Inativa
485;363;Modelo Smart Android;2023-11-13;Ativa
486;363;Modelo Smart Android;2023-11-02;Ativa
487;363;Modelo Pro c/ Impressora;2023-11-10;Ativa
488;364;Modelo Chip Básico;2023-08-28;Ativa
489;365;Modelo Chip Básico;2022-08-03;Inativa
490;366;Modelo Chip Básico;2022-10-18;Inativa
491;367;Modelo Pro c/ Impressora;2023-05-02;Inativa
